Fecha, Hora, Zona de Carga, Precio Zonal ($/MWh), Componente energia ($/MWh), Componente perdidas ($/MWh), Componente Congestion ($/MWh),,
01/04/2025,8,CANCUN,5645.37,694.03,139.13,4812.22,0,1
01/04/2025,9,CANCUN,767.65,621.79,143.51,2.35,0,1
01/04/2025,10,CANCUN,746.26,540.62,128.99,76.66,0,1
01/04/2025,11,CANCUN,849.49,433.31,91.83,324.35,0,1
01/04/2025,12,CANCUN,1077.43,239.49,50.88,787.05,0,1
01/04/2025,13,CANCUN,1015,377.9,73.41,563.69,0,1
01/04/2025,14,CANCUN,994.68,278.68,57.76,658.25,0,1
01/04/2025,15,CANCUN,1141.2,319.56,78.33,743.31,0,1
01/04/2025,16,CANCUN,4201.29,341.22,86.93,3773.14,0,1
01/04/2025,17,CANCUN,9461.38,536.09,141.32,8783.97,0,1
01/04/2025,18,CANCUN,3024.66,628.88,160.64,2235.14,0,1
01/04/2025,19,CANCUN,3322.99,897.92,240.05,2185.02,0,1
01/04/2025,20,CANCUN,3600.26,2703.16,695.07,202.03,0,1
01/04/2025,21,CANCUN,4043.22,3775.34,981.5,-713.62,0,1
01/04/2025,22,CANCUN,3852.87,820.38,213.69,2818.81,0,1
01/04/2025,23,CANCUN,3935.68,1190.61,309.56,2435.5,0,1
01/04/2025,24,CANCUN,3768.18,908.97,253.72,2605.5,0,1
01/04/2025,1,CARMEN,1176.84,931.29,298.47,-52.92,0,1
01/04/2025,2,CARMEN,1146.05,901.5,285.28,-40.72,0,1
01/04/2025,3,CARMEN,2179.29,669.13,215.15,1295.01,0,1
01/04/2025,4,CARMEN,923.61,711.01,211.96,0.64,0,1
01/04/2025,5,CARMEN,867.81,716.08,197.9,-46.18,0,1
01/04/2025,6,CARMEN,809.96,695.78,158.28,-44.1,0,1
01/04/2025,7,CARMEN,863.27,741.91,168.96,-47.6,0,1
01/04/2025,8,CARMEN,861.38,694.03,167.39,-0.04,0,1
01/04/2025,9,CARMEN,779.73,621.79,155.59,2.35,0,1
01/04/2025,10,CARMEN,760.46,540.62,143.18,76.66,0,1
01/04/2025,11,CARMEN,867.05,433.31,109.39,324.35,0,1
01/04/2025,12,CARMEN,1088.45,239.49,61.91,787.05,0,1
01/04/2025,13,CARMEN,1034.65,377.9,93.06,563.69,0,1
