fecha_hora,precio,ds,precio_predicho
2020-01-10 07:00:00,508.72,2020-01-10 07:00:00,427.71156076605564
2020-01-10 08:00:00,734.8,2020-01-10 08:00:00,436.6206190481373
2020-01-10 09:00:00,778.02,2020-01-10 09:00:00,452.704896018767
2020-01-10 10:00:00,766.82,2020-01-10 10:00:00,474.5094329297167
2020-01-10 11:00:00,786.84,2020-01-10 11:00:00,496.8178250052828
2020-01-10 12:00:00,900.74,2020-01-10 12:00:00,514.7269887688568
2020-01-10 13:00:00,880.53,2020-01-10 13:00:00,528.4275579548829
2020-01-10 14:00:00,878.26,2020-01-10 14:00:00,542.5434375433449
2020-01-10 15:00:00,1113.87,2020-01-10 15:00:00,560.4681662182069
2020-01-10 16:00:00,1099.94,2020-01-10 16:00:00,580.4498636870597
2020-01-10 17:00:00,891.41,2020-01-10 17:00:00,598.3651150056415
2020-01-10 18:00:00,1032.37,2020-01-10 18:00:00,615.0306015187555
2020-01-10 19:00:00,1317.33,2020-01-10 19:00:00,639.3769456016834
2020-01-10 20:00:00,1858.01,2020-01-10 20:00:00,681.8294331878292
2020-01-10 21:00:00,1716.71,2020-01-10 21:00:00,741.569143750233
2020-01-10 22:00:00,1238.71,2020-01-10 22:00:00,796.0023646804106
2020-01-10 23:00:00,1158.31,2020-01-10 23:00:00,807.0651553915216
2020-01-11 00:00:00,1000.79,2020-01-11 00:00:00,753.6249908119673
2020-01-11 01:00:00,720.98,2020-01-11 01:00:00,656.6738435030225
2020-01-11 02:00:00,545.63,2020-01-11 02:00:00,558.4601658221886
2020-01-11 03:00:00,505.84,2020-01-11 03:00:00,486.687894206666
2020-01-11 04:00:00,471.5,2020-01-11 04:00:00,445.87501172191605
2020-01-11 05:00:00,473.34,2020-01-11 05:00:00,427.6840243204843
2020-01-11 06:00:00,500.64,2020-01-11 06:00:00,421.61668530950504
2020-01-11 07:00:00,545.38,2020-01-11 07:00:00,421.45961975916526
2020-01-11 08:00:00,573.03,2020-01-11 08:00:00,426.56604881911676
2020-01-11 09:00:00,608.15,2020-01-11 09:00:00,438.120474040114
2020-01-11 10:00:00,781.41,2020-01-11 10:00:00,454.53565571287334
2020-01-11 11:00:00,1576.96,2020-01-11 11:00:00,470.703636895302
2020-01-11 12:00:00,1595.28,2020-01-11 12:00:00,482.0322290638095
2020-01-11 13:00:00,1575.77,2020-01-11 13:00:00,488.87618530109916
2020-01-11 14:00:00,824.1,2020-01-11 14:00:00,495.6518840929031
2020-01-11 15:00:00,798.05,2020-01-11 15:00:00,505.46307538330143
2020-01-11 16:00:00,584.73,2020-01-11 16:00:00,516.6807785188338
2020-01-11 17:00:00,784.12,2020-01-11 17:00:00,525.6824436690778
2020-01-11 18:00:00,811.35,2020-01-11 18:00:00,533.3280979306352
2020-01-11 19:00:00,805.08,2020-01-11 19:00:00,547.3932524960491
2020-01-11 20:00:00,856.84,2020-01-11 20:00:00,576.5425244594644
2020-01-11 21:00:00,798.97,2020-01-11 21:00:00,619.6558380597271
2020-01-11 22:00:00,770.03,2020-01-11 22:00:00,657.7250452117305
2020-01-11 23:00:00,786.52,2020-01-11 23:00:00,659.9521612267911
2020-01-12 00:00:00,531.65,2020-01-12 00:00:00,610.4208652766938
2020-01-12 01:00:00,484.35,2020-01-12 01:00:00,527.4044073172258
2020-01-12 02:00:00,455.66,2020-01-12 02:00:00,445.25663020774545
2020-01-12 03:00:00,437.76,2020-01-12 03:00:00,385.7028179086995
2020-01-12 04:00:00,413.72,2020-01-12 04:00:00,351.73136036170365
2020-01-12 05:00:00,424.79,2020-01-12 05:00:00,336.33238833893097
2020-01-12 06:00:00,411.62,2020-01-12 06:00:00,331.0486774935468
2020-01-12 07:00:00,430.76,2020-01-12 07:00:00,330.9492329269466
2020-01-12 08:00:00,446.13,2020-01-12 08:00:00,335.5400848130886
2020-01-12 09:00:00,447.75,2020-01-12 09:00:00,345.81041453574903
2020-01-12 10:00:00,463.97,2020-01-12 10:00:00,360.6082541514863
2020-01-12 11:00:00,461.06,2020-01-12 11:00:00,375.9841696742533
2020-01-12 12:00:00,477.78,2020-01-12 12:00:00,388.30401171841584
2020-01-12 13:00:00,471.69,2020-01-12 13:00:00,397.80655018035435
2020-01-12 14:00:00,464.18,2020-01-12 14:00:00,408.0456820580341
2020-01-12 15:00:00,455.13,2020-01-12 15:00:00,421.63092258347825
2020-01-12 16:00:00,471.99,2020-01-12 16:00:00,437.3106898434144
2020-01-12 17:00:00,507.65,2020-01-12 17:00:00,452.0485324639225
2020-01-12 18:00:00,490.21,2020-01-12 18:00:00,466.51955857094003
2020-01-12 19:00:00,568.45,2020-01-12 19:00:00,487.59062532122397
2020-01-12 20:00:00,760.53,2020-01-12 20:00:00,523.4500870169643
2020-01-12 21:00:00,628.31,2020-01-12 21:00:00,573.8843158477881
2020-01-12 22:00:00,548.65,2020-01-12 22:00:00,621.7564795754379
2020-01-12 23:00:00,561.73,2020-01-12 23:00:00,637.0776677500909
2020-01-13 00:00:00,503.13,2020-01-13 00:00:00,601.9287416343535
2020-01-13 01:00:00,466.97,2020-01-13 01:00:00,531.3209630872011
2020-01-13 02:00:00,431.55,2020-01-13 02:00:00,458.2595734298578
2020-01-13 03:00:00,412.78,2020-01-13 03:00:00,405.4697410991307
2020-01-13 04:00:00,410.15,2020-01-13 04:00:00,377.5385710517747
2020-01-13 05:00:00,408.68,2020-01-13 05:00:00,368.40748666067026
2020-01-13 06:00:00,421.23,2020-01-13 06:00:00,369.7903306016844
2020-01-13 07:00:00,466.82,2020-01-13 07:00:00,376.666843448134
2020-01-13 08:00:00,575.7,2020-01-13 08:00:00,388.72121178074343
2020-01-13 09:00:00,823.06,2020-01-13 09:00:00,407.32066006779047
2020-01-13 10:00:00,849.03,2020-01-13 10:00:00,431.31361014888967
2020-01-13 11:00:00,861.34,2020-01-13 11:00:00,456.0328379023949
2020-01-13 12:00:00,885.31,2020-01-13 12:00:00,476.91237329440935
2020-01-13 13:00:00,3726.75,2020-01-13 13:00:00,493.98676739267364
2020-01-13 14:00:00,797.54,2020-01-13 14:00:00,511.48833001965374
2020-01-13 15:00:00,793.93,2020-01-13 15:00:00,532.6326063505624
2020-01-13 16:00:00,828.96,2020-01-13 16:00:00,555.8091497717064
2020-01-13 17:00:00,878.53,2020-01-13 17:00:00,577.0693862699703
2020-01-13 18:00:00,826.38,2020-01-13 18:00:00,597.1558313025548
2020-01-13 19:00:00,956.48,2020-01-13 19:00:00,624.7705763227779
2020-01-13 20:00:00,924.76,2020-01-13 20:00:00,670.3059362370866
2020-01-13 21:00:00,894.29,2020-01-13 21:00:00,733.2693776884042
2020-01-13 22:00:00,901.69,2020-01-13 22:00:00,791.4867578215934
2020-01-13 23:00:00,812.31,2020-01-13 23:00:00,806.8303476348532
2020-01-14 00:00:00,554.99,2020-01-14 00:00:00,757.4011581410883
2020-01-14 01:00:00,491.82,2020-01-14 01:00:00,663.4327117626231
2020-01-14 02:00:00,460.57,2020-01-14 02:00:00,567.1816326845197
2020-01-14 03:00:00,431.46,2020-01-14 03:00:00,496.9305544949481
2020-01-14 04:00:00,429.17,2020-01-14 04:00:00,457.7525926880197
